確定着順,異常コード,ブリンカー,枠番,馬番,馬印1,馬印2,馬印3,馬印4,馬名,Ｃ,性別,年齢,斤量,騎手,タイム,着差,PCI,通過1,通過2,通過3,通過4,Ave-3F,上り3F,人気,単勝オッズ,体重,増減,多頭出し,所属,調教師,賞金,馬記号
1,0,,7,15,"  ","  ","  ","  ",スターアニス,,牝,3, 55 ,松山弘平,1.31.5,,52.9,,,9,9,34.68,33.7,1,2.9,480,+2,,(栗),高野友和,14000,
2,0,,3,5,"  ","  ","  ","  ",ギャラボーグ,,牝,3, 55 ,西村淳也,1.31.9,2 1/2,50.3,,,5,4,34.50,34.4,5,14.1,490,-10,,(栗),杉山晴紀,5600,
3,0,,6,11,"  ","  ","  ","  ",ジッピーチューン,,牝,3, 55 ,北村友一,1.32.0,　3/4,53.8,,,17,17,34.98,33.7,12,79.3,422,-6,,(美),林徹,3500,
4,0,,3,6,"  ","  ","  ","  ",アイニードユー,,牝,3, 55 ,川田将雅,1.32.1,クビ,49.3,,,4,4,34.44,34.7,13,92.1,458,-2,,(栗),吉村圭司,2100,
5,0,,4,7,"  ","  ","  ","  ",アランカール,,牝,3, 55 ,武豊,1.32.1,頭,53.5,,,17,17,34.98,33.8,4,8.1,430,-2,,(栗),斉藤崇史,1400,
6,0,,5,10,"  ","  ","  ","  ",ナムラコスモス,,牝,3, 55 ,田口貫太,1.32.1,クビ,52.1,,,13,13,34.80,34.1,7,23.0,490,+6,,(栗),大橋勇樹,0,
7,0,,1,2,"  ","  ","  ","  ",サンアントワーヌ,,牝,3, 55 ,荻野極,1.32.2,クビ,50.3,,,7,7,34.62,34.5,11,64.8,462,+2,,(美),鹿戸雄一,0,
8,0,,2,4,"  ","  ","  ","  ",エレガンスアスク,,牝,3, 55 ,岩田望来,1.32.3,　1/2,51.5,,,13,13,34.80,34.3,14,155.6,424,-8,,(栗),田中克典,0,
9,0,,7,14,"  ","  ","  ","  ",ドリームコア,,牝,3, 55 ,ルメール,1.32.3,クビ,51.0,,,11,11,34.74,34.4,2,3.1,502,0,,(美),萩原清,0,
10,0,,8,16,"  ","  ","  ","  ",ショウナンカリス,,牝,3, 55 ,池添謙一,1.32.6,1 1/2,48.3,,,5,4,34.50,35.1,17,295.6,420,0,,(美),加藤士津,0,
11,0,,7,13,"  ","  ","  ","  ",リリージョワ,,牝,3, 55 ,浜中俊,1.32.6,クビ,51.5,,,16,16,34.92,34.4,3,7.4,456,+6,*,(栗),武幸四郎,0,
12,0,,2,3,"  ","  ","  ","  ",ディアダイヤモンド,,牝,3, 55 ,戸崎圭太,1.32.8,1,49.1,,,9,9,34.68,35.0,6,16.4,462,+2,,(美),手塚貴久,0,
13,0,,6,12,"  ","  ","  ","  ",スウィートハピネス,,牝,3, 55 ,高杉吏麒,1.32.8,クビ,50.5,,,13,15,34.86,34.7,9,29.0,440,0,,(栗),北出成人,0,
14,0,,5,9,"  ","  ","  ","  ",ルールザウェイヴ,,牝,3, 55 ,原優介,1.33.0,1,45.9,,,2,2,34.32,35.8,15,205.7,422,+2,,(美),宮田敬介,0,
15,0,,8,17,"  ","  ","  ","  ",ブラックチャリス,,牝,3, 55 ,津村明秀,1.33.5,3,46.7,,,7,7,34.62,35.8,10,39.3,458,-4,*,(栗),武幸四郎,0,
16,0,,8,18,"  ","  ","  ","  ",プレセピオ,,牝,3, 55 ,富田暁,1.33.6,　1/2,44.7,,,2,2,34.38,36.3,18,467.1,470,0,,(栗),笹田和秀,0,
17,0,,1,1,"  ","  ","  ","  ",フェスティバルヒル,,牝,3, 55 ,坂井瑠星,1.33.6,ハナ,47.3,,,11,11,34.74,35.7,8,24.0,448,0,,(栗),四位洋文,0,
18,0,,4,8,"  ","  ","  ","  ",ロンギングセリーヌ,,牝,3, 55 ,石橋脩,1.34.5,5,42.0,,,1,1,34.32,37.3,16,209.2,490,-6,,(美),竹内正洋,0,
